SpecCode,StockCode,Order,Family,Binomial,TreeName,Sex,Winfinity,LogeWinf,K,LogeK,Loo,Locality,Country,Environment,WaterTempMin,WaterTempMax,ReproGuild,ReproMode,Fertilization,TrophicLevel,FeedingType,T_Kelvin,Temp_New,PopGrowthReferences,Author,Year,TitleUnique,SourceUnique,,,,,
2,1,Perciformes,Cichlidae,Oreochromis niloticus,Oreochromis_niloticus,unsexed,1010,6.91770561,0.294,-1.224175512,29.39999962,Lake Manzalla,Egypt,benthopelagic,13.5,33,bearers,dioecism,external,herbivore,browsing_substrate,296.4,39.1530598,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
2,1,Perciformes,Cichlidae,Oreochromis niloticus,Oreochromis_niloticus,unsexed,1020,6.927557906,0.593999982,-0.52087599,29.39999962,Lake Mariout,Egypt,benthopelagic,13.5,33,bearers,dioecism,external,herbivore,browsing_substrate,296.4,39.1530598,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
2,1,Perciformes,Cichlidae,Oreochromis niloticus,Oreochromis_niloticus,unsexed,1370,7.222566019,0.356000006,-1.032824531,32.59999847,Noussa Hydrodome,Egypt,benthopelagic,13.5,33,bearers,dioecism,external,herbivore,browsing_substrate,296.4,39.1530598,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
2,1,Perciformes,Cichlidae,Oreochromis niloticus,Oreochromis_niloticus,unsexed,1640,7.402451521,0.449999988,-0.798507723,34.40000153,Lake Mariout,Egypt,benthopelagic,13.5,33,bearers,dioecism,external,herbivore,browsing_substrate,296.4,39.1530598,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
2,1,Perciformes,Cichlidae,Oreochromis niloticus,Oreochromis_niloticus,unsexed,1980,7.590852124,0.282999992,-1.262308408,36.79999924,Lake Tchad,Chad,benthopelagic,13.5,33,bearers,dioecism,external,herbivore,browsing_substrate,296.4,39.1530598,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
2,1,Perciformes,Cichlidae,Oreochromis niloticus,Oreochromis_niloticus,unsexed,3500,8.160518247,0.5,-0.693147181,39,Lake Albert,Uganda,benthopelagic,13.5,33,bearers,dioecism,external,herbivore,browsing_substrate,296.4,39.1530598,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
2,1,Perciformes,Cichlidae,Oreochromis niloticus,Oreochromis_niloticus,unsexed,3890,8.266164437,0.546000004,-0.605136296,46.20000076,Lake Nasser,Egypt,benthopelagic,13.5,33,bearers,dioecism,external,herbivore,browsing_substrate,296.4,39.1530598,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
2,1,Perciformes,Cichlidae,Oreochromis niloticus,Oreochromis_niloticus,unsexed,5660,8.641179171,0.216000006,-1.532476845,52.09999847,Lake Nasser,Egypt,benthopelagic,13.5,33,bearers,dioecism,external,herbivore,browsing_substrate,296.4,39.1530598,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
2,1,Perciformes,Cichlidae,Oreochromis niloticus,Oreochromis_niloticus,unsexed,7130,8.872066513,0.405000001,-0.903868209,56.29999924,Lake Kainji,Nigeria,benthopelagic,13.5,33,bearers,dioecism,external,herbivore,browsing_substrate,296.4,39.1530598,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
3,3,Perciformes,Cichlidae,Oreochromis mossambicus,Oreochromis_mossambicus,female,410,6.01615716,0.239999995,-1.427116378,21.70000076,Lake Sibaya,South Africa,benthopelagic,17,35,bearers,dioecism,external,herbivore,browsing_substrate,299.15,38.79313697,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
